ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,AADT,AADT_YEAR,GIS_ID,OBJECTID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPELEN
11000102,296.0502642,326.4801885,2022/01/01 05:00:00+00,,{F89647C3-F393-4A6A-B1AE-5E75C7F5200E},6355,2022,TrafficVolumeLn_320438,320438,{5A9CC3FE-B3F3-4118-900D-32C64119D566},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,326.4801885,371.7370761,2022/01/01 05:00:00+00,,{9E68DF3A-3E7F-45EE-9911-2E8B5F8452F7},6355,2022,TrafficVolumeLn_320439,320439,{897135E1-335B-4277-83D2-FE95093E85B4},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,371.7370761,390.8310286,2022/01/01 05:00:00+00,,{3154B4AF-848C-43D4-8FF0-54650AB046C7},6355,2022,TrafficVolumeLn_320440,320440,{40BB964D-F901-4BB2-A2DF-F9242E5F05FF},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,390.8310286,510.0237323,2022/01/01 05:00:00+00,,{3FDCA18A-79A1-4FD8-8EEE-0FC36D74EE73},6355,2022,TrafficVolumeLn_320441,320441,{E4D84316-8D08-432D-B035-C07179C3F779},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,510.0237323,555.9796181,2022/01/01 05:00:00+00,,{C187FC52-238D-4EE8-B099-5AC9C40FFBAD},6355,2022,TrafficVolumeLn_320442,320442,{14CBF50C-8942-4173-A5B5-E9DA8BCFAAE7},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,555.9796181,608.6784871,2022/01/01 05:00:00+00,,{814A682F-1DC6-44CA-ADEC-4FB42D67EB02},6355,2022,TrafficVolumeLn_320443,320443,{6BA77ABE-72CF-4D5B-B167-6984DF91253D},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,608.6784871,658.4653634,2022/01/01 05:00:00+00,,{D045F80E-301F-4C8F-9216-3E782A473747},6355,2022,TrafficVolumeLn_320444,320444,{36CAE47F-C08F-48FC-A27D-27D320570EB9},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,658.4653634,704.9722478,2022/01/01 05:00:00+00,,{F8B71787-9731-4C74-B880-639F7E578EF5},6355,2022,TrafficVolumeLn_320445,320445,{0EF622A1-6D31-4B81-934D-B70A97171CFD},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,704.9722478,793.1990285,2022/01/01 05:00:00+00,,{10FA4A9A-9C3B-42C8-B1B7-BCA49C7406D2},6355,2022,TrafficVolumeLn_320446,320446,{DF620E46-6F45-4E67-B3DB-D769EE5E6E3F},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,793.1990285,849.0768896,2022/01/01 05:00:00+00,,{8CF3F276-8A04-4D37-8C4A-C06FA0895947},6355,2022,TrafficVolumeLn_320447,320447,{8BA78CF2-3976-47BE-ABA5-CFE760E6DD90},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,849.0778896,849.079,2022/01/01 05:00:00+00,,{732AE022-9587-47E0-A4B2-D2A19ACA6164},546,2022,TrafficVolumeLn_320448,320448,{8D5D13BB-90CA-4C9B-893A-6836B2C6DA51},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,849.08,887.9057931,2022/01/01 05:00:00+00,,{732AE022-9587-47E0-A4B2-D2A19ACA6164},546,2022,TrafficVolumeLn_320449,320449,{A255AB59-75AB-4B34-9E7E-6F707712D61F},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,887.9057931,929.1766905,2022/01/01 05:00:00+00,,{67BDA790-DC5A-4BAE-A549-B5DCF3D7090B},546,2022,TrafficVolumeLn_320450,320450,{C0064630-F6E4-4850-8530-6AAB848E2DCE},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,929.1766905,962.6836073,2022/01/01 05:00:00+00,,{161094BD-D856-4A5D-A4AB-44102FEE4EAE},546,2022,TrafficVolumeLn_320451,320451,{B09A1201-DE98-48EE-8184-FD8B8E82E5F1},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,962.6836073,985.6345502,2022/01/01 05:00:00+00,,{A76E749D-56BD-47E0-9FE5-989D902AF081},546,2022,TrafficVolumeLn_320452,320452,{495F5068-45C0-4D74-AF86-E53BDC96D847},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,70.73982418,210.432477,2022/01/01 05:00:00+00,,{F9130779-6DF1-45BE-8125-A9A4686E28EC},7510,2022,TrafficVolumeLn_320453,320453,{485B1982-A8A7-4BEB-AE78-DD9D03904BE6},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,210.433477,296.0492642,2022/01/01 05:00:00+00,,{6310A513-A040-4A99-ABA8-74EBCEA75742},7510,2022,TrafficVolumeLn_320454,320454,{AE5A8EB8-AE59-4116-B619-98EBF2CBF592},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,0,70.7386,2022/01/01 05:00:00+00,,{9D4597A3-9D3F-43C4-A6B8-8DA7578DC883},2542,2022,TrafficVolumeLn_320455,320455,{861F0874-829A-4B8E-9E65-1ED90C4AD642},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,2710.127264,2772.06411,2022/01/01 05:00:00+00,,{70EA5A8F-10FD-445A-8E40-FB8B01BDFF8B},3977,2022,TrafficVolumeLn_320456,320456,{5FB7A3EB-54FF-4F0A-ABBF-DF734F54E24B},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,2772.06611,2851.596912,2022/01/01 05:00:00+00,,{951D7F93-741B-486E-A198-856286EB2F25},3977,2022,TrafficVolumeLn_320457,320457,{B312DE3E-3075-41FA-8952-C352B9898F04},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,2851.596912,2974.824606,2022/01/01 05:00:00+00,,{15112B00-7BBA-4B34-B48F-232EA5DFDEBE},3977,2022,TrafficVolumeLn_320458,320458,{5BDC3CDA-8B09-460E-B98B-4E5BDF882EB2},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,2974.825606,3093.304312,2022/01/01 05:00:00+00,,{B8B62A2C-47BE-4817-811E-464E77306B9F},3977,2022,TrafficVolumeLn_320459,320459,{C2A3E849-4DA0-4E23-B93C-1D995385659E},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,3093.304312,3093.306312,2022/01/01 05:00:00+00,,{8BA9C9D1-61A7-41FB-804A-A5E1DAA38A8B},3977,2022,TrafficVolumeLn_320460,320460,{636DC1DB-9D11-4133-B6A7-D9077B17E1DA},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,3093.306312,3210.434021,2022/01/01 05:00:00+00,,{792137EB-8B2A-4B43-81C2-F7B45A8C1B63},3977,2022,TrafficVolumeLn_320461,320461,{7F4502CA-9479-46CE-A75A-407AB0A777FC},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,3210.434021,3210.43602,2022/01/01 05:00:00+00,,{28A53660-195B-45B3-82F8-26A90881F38C},3977,2022,TrafficVolumeLn_320462,320462,{B362C676-A11A-45D1-956E-F4964F7B8796},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,3210.43602,3329.655724,2022/01/01 05:00:00+00,,{6BBB3185-2075-4DAC-B648-60CADF666FEC},3977,2022,TrafficVolumeLn_320463,320463,{4EC5CD89-6573-43DC-B4F7-6A6A52572516},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,3329.655724,3448.234429,2022/01/01 05:00:00+00,,{DD41A0D0-036A-4459-975F-D44DDA6D83AC},3977,2022,TrafficVolumeLn_320464,320464,{5108355A-690F-4241-B74A-E6A0877D289D},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,3448.235429,3566.504135,2022/01/01 05:00:00+00,,{D6FF4030-8C6D-4E35-83D0-866938A8B4A2},3977,2022,TrafficVolumeLn_320465,320465,{9D700DC5-3103-46AE-B84B-9AD92A1C3D89},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
11000102,3566.504135,3881.994351,2022/01/01 05:00:00+00,,{737601FA-5B0D-4E51-9A30-EDFA66CDA01C},3977,2022,TrafficVolumeLn_320466,320466,{87E53E2A-7825-46BA-AC3A-E0B4CAF55A28},DCGIS,2024/04/26 06:31:38+00,DCGIS,2024/04/26 06:36:37+00,0
